global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
113,2,13,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.0,0
114,2,14,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.09803921568627451,0.9387254901960784,0.8406862745098039,408
114,2,14,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.8406862745098039,0
115,2,15,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.125,0.8020833333333334,0.6770833333333334,480
115,2,15,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.6770833333333334,0
116,2,16,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.05392156862745098,0.9607843137254902,0.9068627450980392,408
116,2,16,permuted-mnist-task2-npz,2,0,OLD_TASKS_MEAN,A,0,nan,nan,0.9068627450980392,0
117,2,17,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.015723270440251572,0.9764150943396226,0.960691823899371,636
117,2,17,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.960691823899371,0
118,2,18,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.3100303951367781,0.7887537993920972,0.4787234042553191,658
118,2,18,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.4787234042553191,0
119,2,19,permuted-mnist-task2-npz,0,1,permuted-mnist-task1-npz,A,0,0.709726443768997,0.709726443768997,0.0,658
119,2,19,permuted-mnist-task2-npz,0,0,OLD_TASKS_MEAN,A,0,nan,nan,0.0,0
120,2,20,permuted-mnist-task2-npz,3,1,permuted-mnist-task1-npz,A,0,0.06289308176100629,0.9685534591194969,0.9056603773584906,636
120,2,20,permuted-mnist-task2-npz,3,0,OLD_TASKS_MEAN,A,0,nan,nan,0.9056603773584906,0
121,2,21,permuted-mnist-task2-npz,4,1,permuted-mnist-task1-npz,A,0,0.022916666666666665,0.7541666666666667,0.73125,480
121,2,21,permuted-mnist-task2-npz,4,0,OLD_TASKS_MEAN,A,0,nan,nan,0.73125,0
122,2,22,permuted-mnist-task2-npz,2,1,permuted-mnist-task1-npz,A,0,0.1323529411764706,0.9534313725490197,0.8210784313725491,408
