global_round,task_idx,round_in_task,dataset,is_task_switch_round,is_switch_window_round,num_selected_clients,selected_client_ids,personalization_enabled,freeze_mask,probe_enabled_flag,probe_rows_logged,acc_current_before,acc_current_after,delta_agg_current,acc_old_mean_before,acc_old_mean_after,delta_agg_old_mean,delta_pers_old_mean,delta_pers_old_std,pers_rows_logged,acc_before_json,acc_after_json,delta_agg_json,probe_grad_alignment_mean,probe_update_alignment_mean,probe_top_eig_proj_gap_mean,probe_risk_gap_loss_after_mean,before_local_lambda_max_global_old_mean,before_local_opt_drift_global_old_mean,before_local_lambda_max_client_old_mean,before_local_opt_drift_client_old_mean,after_local_lambda_max_global_old_mean,after_local_opt_drift_global_old_mean,after_local_lambda_max_client_old_mean,after_local_opt_drift_client_old_mean,after_agg_lambda_max_global_old_mean,after_agg_opt_drift_global_old_mean,after_agg_lambda_max_client_old_mean,after_agg_opt_drift_client_old_mean,theory_rows_logged,update_norm_mean,update_norm_std,update_P_norm_mean,update_S_norm_mean,update_P_ratio_mean
277,3,77,permuted-mnist-task3-npz,0,0,1,4,1,none,1,0,0.08240258128567883,0.08240258128567883,0.0,0.047247507585609014,0.046163849154746424,-0.00108365843086259,0.0,0.0,3,"{""1"": 0.012570437798006068, ""2"": 0.08192457737321196, ""3"": 0.08240258128567883}","{""1"": 0.012570437798006068, ""2"": 0.07975726051148678, ""3"": 0.08240258128567883}","{""1"": 0.0, ""2"": -0.00216731686172518, ""3"": 0.0}",nan,nan,nan,nan,95.21980972290038,13.429405479744132,90.37599563598633,13.429405479744132,nan,nan,91.08628845214844,13.431501321414123,95.96175918579101,13.431501321414123,nan,nan,8,0.013866754433384967,0.0,0.0081633474470896,0.0112092210690082,0.5886992147814485
278,3,78,permuted-mnist-task3-npz,0,0,1,1,1,none,1,0,0.08240258128567883,0.934723256391164,0.8523206751054853,0.046163849154746424,0.13805808409189424,0.09189423493714782,-0.104,0.06399999999999999,3,"{""1"": 0.012570437798006068, ""2"": 0.07975726051148678, ""3"": 0.08240258128567883}","{""1"": 0.1283051582141309, ""2"": 0.14781100996965757, ""3"": 0.934723256391164}","{""1"": 0.11573472041612484, ""2"": 0.06805374945817079, ""3"": 0.8523206751054853}",nan,nan,nan,nan,96.86443557739258,13.431501321414123,106.92786026000977,13.32113065787645,nan,nan,107.42757034301758,13.321293735395459,96.80132904052735,13.321293735395459,nan,nan,8,1.8548928336280601,0.0,1.8548874677342795,0.0044616462261342265,0.9999971071672263
279,3,79,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.934723256391164,0.9287664432861752,-0.005956813104988856,0.13805808409189424,0.13198959687906373,-0.0060684872128305145,0.0055031446540880526,0.003930817610062896,3,"{""1"": 0.1283051582141309, ""2"": 0.14781100996965757, ""3"": 0.934723256391164}","{""1"": 0.12093628088426528, ""2"": 0.14304291287386217, ""3"": 0.9287664432861752}","{""1"": -0.007368877329865631, ""2"": -0.004768097095795398, ""3"": -0.005956813104988856}",nan,nan,nan,nan,93.51772079467773,13.321293735395459,114.17500305175781,13.336482282324182,nan,nan,115.42901229858398,13.336975747542088,97.94980087280274,13.336975747542088,nan,nan,8,0.8765208998017006,0.0,0.8764864746229771,0.007768371268669284,0.9999607252037788
280,3,80,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.9287664432861752,0.9275254405559692,-0.0012410027302059978,0.13198959687906373,0.13112267013437365,-0.0008669267446900775,0.0,0.0,3,"{""1"": 0.12093628088426528, ""2"": 0.14304291287386217, ""3"": 0.9287664432861752}","{""1"": 0.12093628088426528, ""2"": 0.14130905938448202, ""3"": 0.9275254405559692}","{""1"": 0.0, ""2"": -0.001733853489380155, ""3"": -0.0012410027302059978}",nan,nan,nan,nan,101.93586578369141,13.336975747542088,114.28836441040039,13.336975747542088,nan,nan,114.52446746826172,13.337399270449257,102.61791610717773,13.337399270449257,nan,nan,8,0.008272915688368389,0.0,0.005134930598886062,0.006486418251352239,0.6206917599178503
281,3,81,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.9275254405559692,0.9262844378257632,-0.0012410027302059978,0.13112267013437365,0.13090593844820114,-0.00021673168617251937,0.0,0.0,3,"{""1"": 0.12093628088426528, ""2"": 0.14130905938448202, ""3"": 0.9275254405559692}","{""1"": 0.12093628088426528, ""2"": 0.14087559601213698, ""3"": 0.9262844378257632}","{""1"": 0.0, ""2"": -0.00043346337234503873, ""3"": -0.0012410027302059978}",nan,nan,nan,nan,97.58000717163085,13.337399270449257,106.34753799438477,13.337399270449257,nan,nan,106.824462890625,13.337777793045744,98.13121948242187,13.337777793045744,nan,nan,8,0.006898371858425881,0.0,0.004217037991995216,0.005459315421478329,0.6113091723568204
282,3,82,permuted-mnist-task3-npz,0,0,1,3,1,none,1,0,0.9262844378257632,0.9262844378257632,0.0,0.13090593844820114,0.13112267013437365,0.00021673168617251937,0.0,0.0,3,"{""1"": 0.12093628088426528, ""2"": 0.14087559601213698, ""3"": 0.9262844378257632}","{""1"": 0.12136974425661032, ""2"": 0.14087559601213698, ""3"": 0.9262844378257632}","{""1"": 0.00043346337234503873, ""2"": 0.0, ""3"": 0.0}",nan,nan,nan,nan,95.8977035522461,13.337777793045744,108.53896713256836,13.337777793045744,nan,nan,108.74149322509766,13.338119344228728,96.45839385986328,13.338119344228728,nan,nan,8,0.005946696178584926,0.0,0.003592720056605457,0.004738729580305406,0.6041539618148485
283,3,83,permuted-mnist-task3-npz,0,0,1,2,1,none,1,0,0.9262844378257632,0.9250434350955572,-0.0012410027302059978,0.13112267013437365,0.1341569137407889,0.0030342436064152503,0.0024509803921568627,0.0024509803921568627,3,"{""1"": 0.12136974425661032, ""2"": 0.14087559601213698, ""3"": 0.9262844378257632}","{""1"": 0.12267013437364542, ""2"": 0.14564369310793238, ""3"": 0.9250434350955572}","{""1"": 0.0013003901170351023, ""2"": 0.004768097095795398, ""3"": -0.0012410027302059978}",nan,nan,nan,nan,95.24437866210937,13.338119344228728,120.68860626220703,13.32705654628564,nan,nan,120.97221755981445,13.3271718525513,107.90595474243165,13.3271718525513,nan,nan,8,0.9701509130888427,0.0,0.9701462036487523,0.003022865036501976,0.9999951456613329
284,3,84,permuted-mnist-task3-npz,0,0,1,2,1,none,1,0,0.9250434350955572,0.9250434350955572,0.0,0.1341569137407889,0.13437364542696142,0.00021673168617251937,0.0,0.0,3,"{""1"": 0.12267013437364542, ""2"": 0.14564369310793238, ""3"": 0.9250434350955572}","{""1"": 0.12310359774599046, ""2"": 0.14564369310793238, ""3"": 0.9250434350955572}","{""1"": 0.00043346337234503873, ""2"": 0.0, ""3"": 0.0}",nan,nan,nan,nan,104.17873001098633,13.3271718525513,123.64303970336914,13.3271718525513,nan,nan,123.71710968017578,13.327281694610335,104.36242294311523,13.327281694610335,nan,nan,8,0.0032473907984510216,0.0,0.002059007348388398,0.0025111821393811605,0.6340497573425649
285,3,85,permuted-mnist-task3-npz,0,0,1,0,1,none,1,0,0.9250434350955572,0.9297592454703401,0.004715810374782858,0.13437364542696142,0.13610749891634155,0.001733853489380148,0.011398176291793322,0.0007598784194528807,3,"{""1"": 0.12310359774599046, ""2"": 0.14564369310793238, ""3"": 0.9250434350955572}","{""1"": 0.12613784135240572, ""2"": 0.14607715648027741, ""3"": 0.9297592454703401}","{""1"": 0.0030342436064152573, ""2"": 0.00043346337234503873, ""3"": 0.004715810374782858}",nan,nan,nan,nan,108.98956527709962,13.327281694610335,79.23900604248047,13.289671402146277,nan,nan,79.55270767211914,13.289833302512143,101.78412704467773,13.289833302512143,nan,nan,8,1.068764292318024,0.0,1.0687604391971295,0.002869867802789276,0.99999639478796
286,3,86,permuted-mnist-task3-npz,0,0,1,0,1,none,1,0,0.9297592454703401,0.9297592454703401,0.0,0.13610749891634155,0.13589076723016905,-0.00021673168617251937,0.0,0.0,3,"{""1"": 0.12613784135240572, ""2"": 0.14607715648027741, ""3"": 0.9297592454703401}","{""1"": 0.12613784135240572, ""2"": 0.14564369310793238, ""3"": 0.9297592454703401}","{""1"": 0.0, ""2"": -0.00043346337234503873, ""3"": 0.0}",nan,nan,nan,nan,102.13704757690431,13.289833302512143,72.05673217773438,13.289833302512143,nan,nan,72.43326568603516,13.289979185726947,102.41949157714843,13.289979185726947,nan,nan,8,0.0031757594977488974,0.0,0.0019415556124562634,0.0025131275716290076,0.6113673321991626
