seed,switch_idx,client_id,n_c,F_local,baseline_loss,loss_i_on_local_j,lambda_G,lambda_L,delta_G_sq,delta_P_sq,delta_L_sq,cos_G_P,B_G,B_P,B_L,local_i_steps,local_j_steps,F_global
0.0,2.0,0.0,1972.0,4.059166099127331,0.0012154901487095658,4.06038158927604,2.2377591133117676,1.878442406654358,25.27898406982422,0.95661860704422,26.650005340576172,0.04213810573601431,28.28413848875607,0.898476479233242,25.030250084651698,7.0,8.0,2.2604188019187004
0.0,2.0,5.0,4641.0,7.09966019291813,0.00023046843451227772,7.099890661352643,2.2377591133117676,0.46144723892211914,25.27898406982422,1.3265994787216187,28.33098793029785,0.14899196661471661,28.28413848875607,0.30607783330580673,6.536628078185913,6.0,10.0,2.2604188019187004
0.0,3.0,6.0,753.0,0.1524697637058549,0.001120555691697789,0.1535903193975527,9.245052337646484,1.037247657775879,29.66230583190918,1.5093300342559814,31.104206085205078,-0.005040068847859178,137.11478493563845,0.7827745214214019,16.131382454428604,9.0,7.0,0.12374121181415977
0.0,3.0,1.0,988.0,0.01625286786244909,0.0005279111241592037,0.01678077898660829,9.245052337646484,0.15676793456077576,29.66230583190918,0.3090842366218567,30.123783111572266,0.025166367272251623,137.11478493563845,0.02422724869025128,2.3612216297789814,6.0,6.0,0.12374121181415977
0.0,3.0,4.0,996.0,0.10573724358415625,0.0011720042508043197,0.10690924783496057,9.245052337646484,1.1250014305114746,29.66230583190918,1.0573188066482544,30.686386108398438,-0.0029688271724852945,137.11478493563845,0.5947425849929857,17.261114134587842,8.0,7.0,0.12374121181415977
0.0,3.0,5.0,1545.0,0.13438347777017653,0.0013298181952141198,0.13571329596539067,9.245052337646484,0.6791337728500366,29.66230583190918,0.9626312851905823,30.70307159423828,0.0073116377733944745,137.11478493563845,0.32687770828747986,10.425746424939916,7.0,6.0,0.12374121181415977
0.0,3.0,0.0,1750.0,0.012773780993790881,0.0005134444917722638,0.013287225485563145,9.245052337646484,0.1229022815823555,29.66230583190918,0.41452887654304504,30.2585506439209,0.02591294840026683,137.11478493563845,0.0254732723544554,1.8594224557565653,6.0,6.0,0.12374121181415977
0.0,3.0,2.0,2349.0,0.014821594998977495,0.0010724742989624112,0.015894069297939906,9.245052337646484,1.2788925170898438,29.66230583190918,0.360114723443985,30.198299407958984,0.02690886104028925,137.11478493563845,0.23027401255319546,19.310189570838702,6.0,6.0,0.12374121181415977
0.0,3.0,3.0,5996.0,0.008160351829974115,0.00024084123059324772,0.008401193060567363,9.245052337646484,0.08158744871616364,29.66230583190918,0.21738113462924957,30.11334800720215,0.04601315347516116,137.11478493563845,0.008867786086712681,1.2284356181047968,6.0,6.0,0.12374121181415977
0.0,3.0,7.0,7303.0,0.1649259821594542,0.0005969371171412727,0.16552291927659546,9.245052337646484,0.7758393883705139,29.66230583190918,2.2384393215179443,31.547929763793945,-0.02165263388166643,137.11478493563845,0.868334697055495,12.238063266148913,7.0,6.0,0.12374121181415977
1.0,1.0,1.0,374.0,0.31830053570588146,0.0013487358210502686,0.31964927152693173,5.002445697784424,0.9726064801216125,44.838157653808594,1.5977604389190674,46.78761291503906,0.020777217236566194,112.15022442593727,0.7769960782873184,22.75296775529432,17.0,11.0,0.31844073599309386
