exp_code,global_round,lambda_max,opt_drift
A,307,653.6718688964844,8.379102363603282
A,308,661.3419311523437,8.384869176330495
A,309,694.0257019042969,8.390592028466056
A,310,636.6024169921875,8.396272734720856
A,311,590.453256225586,8.401907641950002
A,312,630.1370483398438,8.407506705451096
A,313,705.9228149414063,8.413064869850423
A,314,661.6032043457031,8.418588890723244
A,315,743.8627868652344,8.424073231432663
A,316,571.406201171875,8.429525550138639
A,317,645.2357299804687,8.43493888449844
A,318,670.8595581054688,8.440317022756068
A,319,674.8430389404297,8.445658865468147
A,320,727.9949096679687,8.450967722975442
A,321,672.3042236328125,8.456243366427756
A,322,586.5391174316406,8.461482191648985
A,323,709.7525451660156,8.466687394240603
A,324,686.6725219726562,8.471861340556782
A,325,740.3395690917969,8.47700457914383
A,326,640.9446228027343,8.482109923119532
A,327,658.90927734375,8.487183465202774
A,328,670.3122192382813,8.49222479959454
A,329,713.316357421875,8.497233708297642
A,330,715.6869384765625,8.50221326269218
A,331,681.4375732421875,8.507162134500343
A,332,672.2165710449219,8.512074851280772
A,333,739.576416015625,8.516961574436005
A,334,653.0346313476563,8.521816246762523
A,335,714.2924682617188,8.52664270961833
A,336,679.1705810546875,8.531431369984498
A,337,693.7862915039062,8.536192206095496
A,338,715.0112670898437,8.540923332903825
A,339,764.5090942382812,8.545627593189545
A,340,697.1578674316406,8.550304665752734
A,341,671.5156433105469,8.554957798602429
A,342,671.7235595703125,8.559587299528093
A,343,706.0529968261719,8.564187328690005
A,344,762.7208251953125,8.568764281808775
A,345,794.3108337402343,8.573315891357943
A,346,615.9772094726562,8.577840893067245
A,347,706.9368225097656,8.58234242281868
A,348,724.0359924316406,8.58681768998627
A,349,747.0185241699219,8.591269409055638
A,350,774.8798828125,8.595697639583197
A,351,685.7392211914063,8.600098941243878
A,352,672.5038818359375,8.604480956410868
A,353,738.8198425292969,8.60883712386452
A,354,728.9386657714844,8.613171815717626
A,355,802.7099426269531,8.617483718861255
A,356,702.6295166015625,8.621771580970073
A,357,740.9655700683594,8.626039005322585
A,358,687.6689025878907,8.630285545043822
A,359,714.2949005126953,8.634510736730842
A,360,804.8313598632812,8.638712610575197
A,361,708.8209106445313,8.642895503493646
A,362,720.3206115722656,8.647055614154702
