exp_code,global_round,lambda_max,opt_drift
A,275,165.2001739501953,13.6286177589626
A,276,183.05184631347657,13.63790974023323
A,277,158.3518096923828,13.647009732289083
A,278,210.8175018310547,13.655920109812511
A,279,183.8131134033203,13.664640435133768
A,280,166.22735900878905,13.673180831127878
A,281,171.0526336669922,13.681528917356228
A,282,181.79041137695316,13.689706978802883
A,283,201.1600372314453,13.697713173115025
A,284,192.5059509277344,13.705551183331211
A,285,182.99388122558597,13.713233352874786
A,286,178.05693664550782,13.72075580790441
A,287,175.71554260253907,13.72808698396653
A,288,231.6686981201172,13.735300203261923
A,289,176.88369750976562,13.74237974399992
A,290,191.28700256347656,13.749332030283933
A,291,182.8567321777344,13.756152790498236
A,292,183.51543273925785,13.762818059507197
A,293,219.56435852050785,13.76934991000192
A,294,207.4158905029297,13.775755577926672
A,295,177.36329345703126,13.78203872609967
A,296,197.17096252441405,13.788210956550577
A,297,185.41246337890624,13.794279805406685
A,298,226.85944519042968,13.800240554388802
A,299,198.64708862304687,13.806099152399296
A,300,204.8492462158203,13.811858764819972
A,301,179.7531494140625,13.817520198075654
A,302,204.31934204101563,13.823094583395012
A,303,234.0737426757813,13.82858062575418
A,304,203.17638549804687,13.833389141779758
A,305,199.0245819091797,13.838285762230711
A,306,209.64016418457032,13.84326416383739
A,307,186.63229064941407,13.848284048314673
A,308,243.15241394042968,13.853311982776416
A,309,208.61316528320316,13.858337371564753
A,310,198.3851043701172,13.863332944479636
A,311,199.57628784179687,13.868277877599532
A,312,214.08869018554688,13.873165650512474
A,313,229.9977569580078,13.878000476246722
A,314,224.8584411621094,13.882449651966372
A,315,205.0361572265625,13.886905744557122
A,316,200.55064086914064,13.891362332126118
A,317,209.32093505859376,13.895853999538105
A,318,260.3709228515625,13.900300019078673
A,319,205.20157165527343,13.904708293578176
A,320,217.38903198242187,13.909069260374014
A,321,209.29739685058595,13.913393427565651
A,322,208.29185791015624,13.91767165011188
A,323,256.83176879882814,13.921901137715988
A,324,232.68158264160155,13.92608534278938
A,325,199.5265380859375,13.93022054239642
A,326,223.1562713623047,13.934309006629023
A,327,218.19593505859376,13.93834831185739
A,328,251.2864715576172,13.942339900362825
A,329,231.5684967041016,13.946227173500631
A,330,225.0583526611328,13.950073454754918
A,331,202.03975830078124,13.953894326444294
A,332,232.64557189941405,13.957592018450333
A,333,260.1445068359375,13.961246045187446
A,334,222.46651306152344,13.96486219551629
A,335,225.2660095214844,13.968446614130553
A,336,226.1795379638672,13.972000203716012
A,337,209.45690307617187,13.975524925667589
A,338,277.85276489257814,13.97902107897282
A,339,233.41202697753903,13.982484599693592
A,340,217.29014892578124,13.985921537671246
A,341,223.59108276367184,13.989276971454382
A,342,232.5322052001953,13.992594310463286
A,343,251.6277862548828,13.995883039889414
A,344,251.6595489501953,13.99914056192079
A,345,226.71190490722657,14.002370680464026
A,346,217.79122009277344,14.005575736539386
A,347,236.4763946533203,14.00875173293173
A,348,279.6261627197265,14.011900558972446
A,349,221.376318359375,14.01502472890206
A,350,246.9188659667969,14.018122100267668
A,351,226.95706176757807,14.02119282208004
A,352,225.4998443603516,14.024238179441864
A,353,280.42311096191406,14.027257932858836
A,354,248.15291748046877,14.03025066134652
A,355,214.89737854003903,14.03321705062908
A,356,247.26148681640623,14.036158286257136
A,357,234.4489898681641,14.039074619141507
