global_round,task_idx,round_in_task,dataset,client_id,exp_id,run_seed,probe_status,probe_batch_offset,probe_batch_count,probe_seed,probe_steps,probe_batch_size,grad_alignment,update_alignment,risk_gap_loss_after_P_minus_G,risk_gap_loss_delta_P_minus_G,top_eig_proj_gap_P_minus_G,top_eig_enabled,G_loss_before,G_loss_after,G_loss_delta,G_mean_step_loss,G_U_norm,G_U_P_norm,G_U_S_norm,G_U_P_ratio,G_top_eigval,G_top_eig_proj_abs,G_top_eig_proj_ratio,P_loss_before,P_loss_after,P_loss_delta,P_mean_step_loss,P_U_norm,P_U_P_norm,P_U_S_norm,P_U_P_ratio,P_top_eigval,P_top_eig_proj_abs,P_top_eig_proj_ratio
203,2,3,cifar100-cl4-task2-npz,3,A,0,ok,1,5,2032489,5,64,0.8936057179971802,0.8775322547778674,-0.32608382701873784,0.6013578891754152,0.0733021331189572,1,2.4341578006744387,1.4179498672485351,-1.0162079334259035,2.1058974742889403,0.2817643837245624,0.20304448137756692,0.1953563577613929,0.7206179812113216,13.761451721191406,0.03663414919424716,0.13001713884334853,1.5067160844802856,1.0918660402297973,-0.4148500442504883,1.3667676448822021,0.19129447792895676,0.09290931235040022,0.16721673649694246,0.4856873724521171,18.60858154296875,0.10993628231320435,0.574697972785396
203,2,3,cifar100-cl4-task2-npz,1,A,0,ok,0,5,2032296,5,64,0.8276172019533382,0.8072572949860456,-0.2041430830955504,0.7564961552619935,0.0768620970425937,1,2.3970802783966065,1.2676286935806274,-1.1294515848159792,1.9402118921279907,0.32107689063967326,0.22842898583335391,0.22563370345315456,0.7114463622017432,24.37778663635254,0.05593181522102769,0.17420097400386164,1.4364410400390626,1.063485610485077,-0.37295542955398564,1.2848957061767579,0.1903084425704912,0.07813673555252461,0.17352796279217014,0.4105794493230209,35.31047439575195,0.1327939122636214,0.6977843844292476
203,2,3,cifar100-cl4-task2-npz,2,A,0,ok,2,5,2032394,5,64,0.9187532277976572,0.9240630286767879,-0.2731716156005859,0.28140802383422847,0.011271373967207711,1,2.592746067047119,1.7945552587509155,-0.7981908082962035,2.352660894393921,0.23853064711564984,0.1809086748939417,0.15546356795573935,0.7584294809944108,19.15009117126465,0.03533784874319388,0.14814819882910082,2.0381664276123046,1.5213836431503296,-0.516782784461975,1.8697490453720094,0.20384629676601573,0.12521037416661804,0.1608591772522602,0.6142391407273201,21.109926223754883,0.04660922271040159,0.22864919783997317
203,2,3,cifar100-cl4-task2-npz,4,A,0,ok,13,5,2032589,5,64,0.8341919927943122,0.8512210204488989,-0.26221487522125253,0.3143559217453,-0.0038047649277362927,1,2.4895092487335204,1.8954288244247437,-0.5940804243087767,2.3129902362823485,0.2072382560532935,0.14391442408490268,0.1491185210237857,0.6944394670412548,17.69891357421875,0.033041129214963175,0.15943572374698856,1.9129384517669679,1.6332139492034912,-0.2797245025634767,1.8326371431350708,0.14823311457526545,0.0678219942452389,0.13180756182132555,0.4575360535269918,22.522113800048828,0.029236364287226882,0.1972328357886567
203,2,3,cifar100-cl4-task2-npz,0,A,0,ok,7,5,2032202,5,64,0.6598862967512746,0.7667993227245138,-0.5258747577667235,0.6401426672935484,-0.11341701346493768,1,2.2813771247863768,1.2850975036621093,-0.9962796211242675,1.9617644548416138,0.27699670126667447,0.20012609387134517,0.19151166822002472,0.7224854771030441,20.774822235107422,0.1364501488110862,0.49260631630955704,1.1153596997261048,0.7592227458953857,-0.3561369538307191,0.9946146965026855,0.1785238975718989,0.07384562144708429,0.16253493838973754,0.4136455816338537,34.815162658691406,0.023033135346148502,0.12902018999606898
401,3,1,cifar100-cl4-task3-npz,0,A,0,ok,4,5,4013584,5,64,0.9975616515170157,0.9987334073118066,0.02428455352783221,0.3727060317993178,0.15687314728425195,1,49.16890182495117,4.027926683425903,-45.14097514152527,23.04975986480713,2.4708421716794287,1.0250065775740551,2.2482042952719925,0.41484097581066637,319.14630126953125,0.015017752039044173,0.006078002224198086,48.82048034667969,4.0522112369537355,-44.76826910972595,22.9755295753479,2.458996853738062,1.0256277211575489,2.234894472740684,0.4170919208774164,573.0418701171875,0.17189089932329613,0.06990301270380958
401,3,1,cifar100-cl4-task3-npz,1,A,0,ok,6,5,4013682,5,64,0.9996267045809533,0.9987899979963809,0.011558628082275924,0.282717227935791,0.016809190474003977,1,50.20091094970703,4.238680458068847,-45.96223049163818,22.502582550048828,2.5627940904545228,1.0262793280810607,2.3483322360394645,0.4004532911571702,295.4296875,0.6803867295291774,0.26548698275578475,49.929752349853516,4.250239086151123,-45.67951326370239,22.37746982574463,2.553319686527594,1.0278916330906838,2.337280516376145,0.40257067632928095,303.97711181640625,0.6971959200031814,0.27305535403910935
401,3,1,cifar100-cl4-task3-npz,3,A,0,ok,0,5,4013877,5,64,0.9776344326265197,0.9884247996638442,-0.08022041320800755,1.1989238739013715,0.25293431631390917,1,47.62452774047851,2.1567291259765624,-45.46779861450195,19.84688711166382,2.636529438167713,1.4711937886930027,2.187893122260794,0.5580039302405316,601.81396484375,0.5239500145777334,0.19872753950442237,46.34538345336914,2.076508712768555,-44.26887474060058,19.179310369491578,2.6350989882859257,1.486523009621445,2.1757748091039915,0.5641241624049317,605.587646484375,0.7768843308916425,0.29482222721816836
401,3,1,cifar100-cl4-task3-npz,4,A,0,ok,5,5,4013975,5,64,0.9334393885934712,0.9813766213588944,0.09895648956298864,2.22540988922119,0.13183829647004025,1,50.1541259765625,4.995410537719726,-45.15871543884277,24.045059394836425,2.453232772796115,0.8370049654267933,2.306029862202961,0.34118448714202565,464.2049865722656,0.22817009064256694,0.09300815163206298,48.027672576904294,5.094367027282715,-42.93330554962158,23.63388338088989,2.3752285122590058,0.8519480310614195,2.217181778253353,0.3586804497605157,371.8193359375,0.3600083871126072,0.15156825234095747
401,3,1,cifar100-cl4-task3-npz,2,A,0,ok,3,5,4013782,5,64,0.992888815601827,0.9936801768816635,-0.030590534210205078,0.8574671745300293,-0.05448628016028989,1,53.874716186523436,4.508254623413086,-49.36646156311035,24.06418800354004,2.6522346284611427,0.9324525335770639,2.482917799089235,0.3515724150384584,947.649658203125,0.42130536993141604,0.1588495979031893,52.9866584777832,4.4776640892028805,-48.50899438858032,23.847633266448973,2.633733021912924,0.9356415492636276,2.461935117342888,0.3552529969737405,900.3529663085938,0.36681908977112615,0.13927757611812025
