exp_dir,exp_code,global_round,old_task_idx,acc_mean,acc_std,num_seeds
A_Full_FedALA,A,380,0,0.0,,1
A_Full_FedALA,A,381,0,0.0,,1
A_Full_FedALA,A,382,0,0.0,,1
A_Full_FedALA,A,383,0,0.0,,1
A_Full_FedALA,A,384,0,0.0,,1
A_Full_FedALA,A,385,0,0.0,,1
A_Full_FedALA,A,386,0,0.0,,1
A_Full_FedALA,A,387,0,0.0,,1
A_Full_FedALA,A,388,0,0.0,,1
A_Full_FedALA,A,389,0,0.0,,1
A_Full_FedALA,A,390,0,0.0,,1
A_Full_FedALA,A,391,0,0.0,,1
A_Full_FedALA,A,392,0,0.0,,1
A_Full_FedALA,A,393,0,0.0,,1
A_Full_FedALA,A,394,0,0.0,,1
A_Full_FedALA,A,395,0,0.0,,1
A_Full_FedALA,A,396,0,0.0,,1
A_Full_FedALA,A,397,0,0.0,,1
A_Full_FedALA,A,398,0,0.0,,1
A_Full_FedALA,A,399,0,0.0,,1
A_Full_FedALA,A,400,0,0.0,,1
A_Full_FedALA,A,401,0,0.2472636815920398,,1
A_Full_FedALA,A,402,0,0.01593424041820355,,1
A_Full_FedALA,A,403,0,0.0008183306055646436,,1
A_Full_FedALA,A,404,0,0.0004091653027823218,,1
A_Full_FedALA,A,405,0,0.0,,1
A_Full_FedALA,A,406,0,0.0,,1
A_Full_FedALA,A,407,0,0.0,,1
A_Full_FedALA,A,408,0,0.0,,1
A_Full_FedALA,A,409,0,0.0,,1
A_Full_FedALA,A,410,0,0.0,,1
A_Full_FedALA,A,411,0,0.0,,1
A_Full_FedALA,A,412,0,0.0008183306055646436,,1
A_Full_FedALA,A,413,0,0.0016366612111292872,,1
A_Full_FedALA,A,414,0,0.0004091653027823218,,1
A_Full_FedALA,A,415,0,0.0008183306055646436,,1
A_Full_FedALA,A,416,0,0.0004091653027823218,,1
A_Full_FedALA,A,417,0,0.0004091653027823218,,1
A_Full_FedALA,A,418,0,0.0004091653027823218,,1
A_Full_FedALA,A,419,0,0.0008183306055646436,,1
A_Full_FedALA,A,420,0,0.0,,1
A_Full_FedALA,A,421,0,0.0004091653027823218,,1
A_Full_FedALA,A,422,0,0.0004091653027823218,,1
A_Full_FedALA,A,423,0,0.0,,1
A_Full_FedALA,A,424,0,0.0,,1
A_Full_FedALA,A,425,0,0.0,,1
A_Full_FedALA,A,426,0,0.0,,1
A_Full_FedALA,A,427,0,0.0,,1
A_Full_FedALA,A,428,0,0.0,,1
A_Full_FedALA,A,429,0,0.0,,1
A_Full_FedALA,A,430,0,0.0,,1
A_Full_FedALA,A,431,0,0.0,,1
A_Full_FedALA,A,432,0,0.0,,1
A_Full_FedALA,A,433,0,0.0,,1
A_Full_FedALA,A,434,0,0.0,,1
A_Full_FedALA,A,435,0,0.0,,1
