global_round,task_idx,round_in_task,dataset,client_id,old_task_idx,old_dataset,exp_id,run_seed,global_acc_old_task,personalized_acc_old_task,delta_pers,test_samples
229,3,29,permuted-mnist-task3-npz,2,1,permuted-mnist-task1-npz,C,0,0.00980392156862745,0.00980392156862745,0.0,408
229,3,29,permuted-mnist-task3-npz,2,2,permuted-mnist-task2-npz,C,0,0.25,0.25,0.0,408
229,3,29,permuted-mnist-task3-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
230,3,30,permuted-mnist-task3-npz,1,1,permuted-mnist-task1-npz,C,0,0.008,0.008,0.0,125
230,3,30,permuted-mnist-task3-npz,1,2,permuted-mnist-task2-npz,C,0,0.152,0.152,0.0,125
230,3,30,permuted-mnist-task3-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
231,3,31,permuted-mnist-task3-npz,1,1,permuted-mnist-task1-npz,C,0,0.008,0.008,0.0,125
231,3,31,permuted-mnist-task3-npz,1,2,permuted-mnist-task2-npz,C,0,0.328,0.328,0.0,125
231,3,31,permuted-mnist-task3-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
232,3,32,permuted-mnist-task3-npz,0,1,permuted-mnist-task1-npz,C,0,0.4027355623100304,0.4027355623100304,0.0,658
232,3,32,permuted-mnist-task3-npz,0,2,permuted-mnist-task2-npz,C,0,0.3890577507598784,0.3890577507598784,0.0,658
232,3,32,permuted-mnist-task3-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
233,3,33,permuted-mnist-task3-npz,2,1,permuted-mnist-task1-npz,C,0,0.007352941176470588,0.007352941176470588,0.0,408
233,3,33,permuted-mnist-task3-npz,2,2,permuted-mnist-task2-npz,C,0,0.2181372549019608,0.2181372549019608,0.0,408
233,3,33,permuted-mnist-task3-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
234,3,34,permuted-mnist-task3-npz,0,1,permuted-mnist-task1-npz,C,0,0.39209726443769,0.39209726443769,0.0,658
234,3,34,permuted-mnist-task3-npz,0,2,permuted-mnist-task2-npz,C,0,0.3601823708206687,0.3601823708206687,0.0,658
234,3,34,permuted-mnist-task3-npz,0,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
235,3,35,permuted-mnist-task3-npz,4,1,permuted-mnist-task1-npz,C,0,0.04791666666666667,0.04791666666666667,0.0,480
235,3,35,permuted-mnist-task3-npz,4,2,permuted-mnist-task2-npz,C,0,0.04791666666666667,0.04791666666666667,0.0,480
235,3,35,permuted-mnist-task3-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
236,3,36,permuted-mnist-task3-npz,2,1,permuted-mnist-task1-npz,C,0,0.031862745098039214,0.031862745098039214,0.0,408
236,3,36,permuted-mnist-task3-npz,2,2,permuted-mnist-task2-npz,C,0,0.09558823529411764,0.09558823529411764,0.0,408
236,3,36,permuted-mnist-task3-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
237,3,37,permuted-mnist-task3-npz,2,1,permuted-mnist-task1-npz,C,0,0.14950980392156862,0.14950980392156862,0.0,408
237,3,37,permuted-mnist-task3-npz,2,2,permuted-mnist-task2-npz,C,0,0.35294117647058826,0.35294117647058826,0.0,408
237,3,37,permuted-mnist-task3-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
238,3,38,permuted-mnist-task3-npz,1,1,permuted-mnist-task1-npz,C,0,0.112,0.112,0.0,125
238,3,38,permuted-mnist-task3-npz,1,2,permuted-mnist-task2-npz,C,0,0.264,0.264,0.0,125
238,3,38,permuted-mnist-task3-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
239,3,39,permuted-mnist-task3-npz,4,1,permuted-mnist-task1-npz,C,0,0.075,0.075,0.0,480
239,3,39,permuted-mnist-task3-npz,4,2,permuted-mnist-task2-npz,C,0,0.13333333333333333,0.13333333333333333,0.0,480
239,3,39,permuted-mnist-task3-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
240,3,40,permuted-mnist-task3-npz,2,1,permuted-mnist-task1-npz,C,0,0.051470588235294115,0.051470588235294115,0.0,408
240,3,40,permuted-mnist-task3-npz,2,2,permuted-mnist-task2-npz,C,0,0.15196078431372548,0.15196078431372548,0.0,408
240,3,40,permuted-mnist-task3-npz,2,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
241,3,41,permuted-mnist-task3-npz,4,1,permuted-mnist-task1-npz,C,0,0.075,0.075,0.0,480
241,3,41,permuted-mnist-task3-npz,4,2,permuted-mnist-task2-npz,C,0,0.12916666666666668,0.12916666666666668,0.0,480
241,3,41,permuted-mnist-task3-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
242,3,42,permuted-mnist-task3-npz,3,1,permuted-mnist-task1-npz,C,0,0.009433962264150943,0.009433962264150943,0.0,636
242,3,42,permuted-mnist-task3-npz,3,2,permuted-mnist-task2-npz,C,0,0.0047169811320754715,0.0047169811320754715,0.0,636
242,3,42,permuted-mnist-task3-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
243,3,43,permuted-mnist-task3-npz,4,1,permuted-mnist-task1-npz,C,0,0.07708333333333334,0.07708333333333334,0.0,480
243,3,43,permuted-mnist-task3-npz,4,2,permuted-mnist-task2-npz,C,0,0.15833333333333333,0.15833333333333333,0.0,480
243,3,43,permuted-mnist-task3-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
244,3,44,permuted-mnist-task3-npz,4,1,permuted-mnist-task1-npz,C,0,0.04375,0.04375,0.0,480
244,3,44,permuted-mnist-task3-npz,4,2,permuted-mnist-task2-npz,C,0,0.058333333333333334,0.058333333333333334,0.0,480
244,3,44,permuted-mnist-task3-npz,4,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
245,3,45,permuted-mnist-task3-npz,3,1,permuted-mnist-task1-npz,C,0,0.020440251572327043,0.020440251572327043,0.0,636
245,3,45,permuted-mnist-task3-npz,3,2,permuted-mnist-task2-npz,C,0,0.026729559748427674,0.026729559748427674,0.0,636
245,3,45,permuted-mnist-task3-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
246,3,46,permuted-mnist-task3-npz,1,1,permuted-mnist-task1-npz,C,0,0.072,0.072,0.0,125
246,3,46,permuted-mnist-task3-npz,1,2,permuted-mnist-task2-npz,C,0,0.432,0.432,0.0,125
246,3,46,permuted-mnist-task3-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
247,3,47,permuted-mnist-task3-npz,3,1,permuted-mnist-task1-npz,C,0,0.059748427672955975,0.059748427672955975,0.0,636
247,3,47,permuted-mnist-task3-npz,3,2,permuted-mnist-task2-npz,C,0,0.4528301886792453,0.4528301886792453,0.0,636
247,3,47,permuted-mnist-task3-npz,3,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
248,3,48,permuted-mnist-task3-npz,1,1,permuted-mnist-task1-npz,C,0,0.08,0.08,0.0,125
248,3,48,permuted-mnist-task3-npz,1,2,permuted-mnist-task2-npz,C,0,0.416,0.416,0.0,125
248,3,48,permuted-mnist-task3-npz,1,0,OLD_TASKS_MEAN,C,0,nan,nan,0.0,0
