exp_dir,exp_code,global_round,old_task_idx,acc_mean,acc_std,num_seeds
A_Full_FedALA,A,258,0,0.8404854789770264,,1
A_Full_FedALA,A,259,0,0.8413524057217165,,1
A_Full_FedALA,A,260,0,0.8413524057217165,,1
A_Full_FedALA,A,261,0,0.8409189423493715,,1
A_Full_FedALA,A,262,0,0.8404854789770264,,1
A_Full_FedALA,A,263,0,0.8404854789770264,,1
A_Full_FedALA,A,264,0,0.8404854789770264,,1
A_Full_FedALA,A,265,0,0.8391850888599913,,1
A_Full_FedALA,A,266,0,0.8387516254876463,,1
A_Full_FedALA,A,267,0,0.8370177719982661,,1
A_Full_FedALA,A,268,0,0.8374512353706112,,1
A_Full_FedALA,A,269,0,0.8365843086259211,,1
A_Full_FedALA,A,270,0,0.8361508452535761,,1
A_Full_FedALA,A,271,0,0.835283918508886,,1
A_Full_FedALA,A,272,0,0.835283918508886,,1
A_Full_FedALA,A,273,0,0.835283918508886,,1
A_Full_FedALA,A,274,0,0.835717381881231,,1
A_Full_FedALA,A,275,0,0.835717381881231,,1
A_Full_FedALA,A,276,0,0.835283918508886,,1
A_Full_FedALA,A,277,0,0.835283918508886,,1
A_Full_FedALA,A,278,0,0.834850455136541,,1
A_Full_FedALA,A,279,0,0.8339835283918509,,1
A_Full_FedALA,A,280,0,0.8339835283918509,,1
A_Full_FedALA,A,281,0,0.8331166016471608,,1
A_Full_FedALA,A,282,0,0.8331166016471608,,1
A_Full_FedALA,A,283,0,0.8331166016471608,,1
A_Full_FedALA,A,284,0,0.8326831382748158,,1
A_Full_FedALA,A,285,0,0.8322496749024707,,1
A_Full_FedALA,A,286,0,0.8322496749024707,,1
A_Full_FedALA,A,287,0,0.8322496749024707,,1
A_Full_FedALA,A,288,0,0.8322496749024707,,1
A_Full_FedALA,A,289,0,0.8322496749024707,,1
A_Full_FedALA,A,290,0,0.8322496749024707,,1
A_Full_FedALA,A,291,0,0.8322496749024707,,1
A_Full_FedALA,A,292,0,0.8313827481577807,,1
A_Full_FedALA,A,293,0,0.8313827481577807,,1
A_Full_FedALA,A,294,0,0.8313827481577807,,1
A_Full_FedALA,A,295,0,0.8313827481577807,,1
A_Full_FedALA,A,296,0,0.8305158214130905,,1
A_Full_FedALA,A,297,0,0.8305158214130905,,1
A_Full_FedALA,A,298,0,0.8300823580407456,,1
A_Full_FedALA,A,299,0,0.8300823580407456,,1
A_Full_FedALA,A,300,0,0.8296488946684005,,1
A_Full_FedALA,A,301,0,0.8292154312960555,,1
A_Full_FedALA,A,302,0,0.8292154312960555,,1
A_Full_FedALA,A,303,0,0.8292154312960555,,1
A_Full_FedALA,A,304,0,0.8292154312960555,,1
A_Full_FedALA,A,305,0,0.8292154312960555,,1
A_Full_FedALA,A,306,0,0.8296488946684005,,1
A_Full_FedALA,A,307,0,0.8296488946684005,,1
A_Full_FedALA,A,308,0,0.8292154312960555,,1
A_Full_FedALA,A,309,0,0.8292154312960555,,1
A_Full_FedALA,A,310,0,0.8283485045513654,,1
A_Full_FedALA,A,311,0,0.8283485045513654,,1
A_Full_FedALA,A,312,0,0.8279150411790204,,1
A_Full_FedALA,A,313,0,0.8279150411790204,,1
A_Full_FedALA,A,314,0,0.8274815778066753,,1
